nome_entidade;cnpj_entidade;sigla
UNIVERDIDADE FEDERAL DO RIO GRANDE;94.877.586/0001-10;FURG
UNIVERSIDADE CATÓLICA DE SANTOS;58.191.008/0015-68;UNISANTOS
UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;82.804.642/0001-08;UniChapeco
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;12.397.930/0001-00;UNILAB
UNIVERSIDADE DE BRASÍLIA;00.038.174/0001-43;UNB
UNIVERSIDADE DE CAXIAS DO SUL;88.648.761/0001-03;UCS
UNIVERSIDADE DE CRUZ ALTA;92.928.845/0001-60;UNICRUZ
UNIVERSIDADE DE PASSO FUNDO;92.034.321/0001-25;UPF
UNIVERSIDADE DE PERNAMBUCO;11.022.597/0001-91;UPE
UNIVERSIDADE DE RIBEIRÃO PRETO;55.983.670/0001-67;URP
UNIVERSIDADE DE SANTA CRUZ DO SUL;95.438.412/0002-03;UNISC
UNIVERSIDADE DE SÃO PAULO;63.025.530/0001-04;USP
UNIVERSIDADE DE SÃO PAULO CAMPUS RIBEIRÃO PRETO;63.025.530/0001-04;USP
UNIVERSIDADE DE SÃO PAULO CAMPUS SÃO CARLOS;63.025.530/0001-04;USP
UNIVERSIDADE DE SOROCABA;71.487.094/0001-13;UNISO
UNIVERSIDADE DE TAUBATE;45.176.153/0001-22;UNITAU
UNIVERSIDADE DO CONTESTADO;83.395.921/0001-28;UNC
UNIVERSIDADE DO ESTADO DA BAHIA;14.485.841/0001-40;UNEB
UNIVERSIDADE DO ESTADO DE MATO GROSSO;01.367.770/0001-30;UNEMAT
UNIVERSIDADE DO ESTADO DE MINAS GERAIS;65.172.579/0001-15;UEMG
UNIVERSIDADE DO ESTADO DE SANTA CATARINA;83.891.283/0001-36;UDESC
UNIVERSIDADE DO ESTADO DO AMAPÁ;08.186.277/0001-62;UEAP
UNIVERSIDADE DO ESTADO DO AMAZONAS;04.280.196/0001-76;UEA
UNIVERSIDADE DO ESTADO DO PARÁ;34.860.833/0001-44;UEPA
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;33.540.014/0001-57;UERJ
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;08.258.295/0001-02;UERN
UNIVERSIDADE DO EXTREMO SUL CATARINENSE;83.661.074/0001-04;UNESC
UNIVERSIDADE DO OESTE DE SANTA CATARINA;84.592.369/0001-20;UNOESC
UNIVERSIDADE DO SUL DE SANTA CATARINA;86.445.293/0001-36;UNISUL
UNIVERSIDADE DO TOCANTINS;01.637.536/0001-85;UNITINS
UNIVERSIDADE DO VALE DO ITAJAI;84.307.974/0001-02;UNIVALI
UNIVERSIDADE DO VALE DO TAQUARI;04.008.342/0001-09;UNIVATES
UNIVERSIDADE ESTADUAL DA PARAIBA;12.671.814/0001-37;UEPB
UNIVERSIDADE ESTADUAL DE ALAGOAS;02.436.870/0001-33;UNEAL
UNIVERSIDADE ESTADUAL DE CAMPINAS;46.068.425/0001-33;UNICAMP
UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAUDE DE ALAGOAS;12.517.793/0001-08;UNCISAL
